MD,Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest,Date2,Date3,Settle_3,Cost_o_C,Month,Day,M_D,YMD,MD,Slope
201208,2012-08-21,814.75,832.5,813.5,831.25,57426.0,132712.0,2012-08-21,20120821,837.75,6.5,8,21,201208,20120821,201208,1
201209,2012-09-24,743.0,745.75,736.75,744.75,120427.0,634442.0,2012-09-24,20120924,747.25,2.5,9,24,201209,20120924,201209,1
201210,2012-10-19,764.5,769.0,759.5,761.5,139689.0,577086.0,2012-10-19,20121019,753.75,-7.75,10,19,201210,20121019,201210,0
201211,2012-11-21,744.5,744.75,738.5,741.0,107445.0,225347.0,2012-11-21,20121121,742.0,1.0,11,21,201211,20121121,201211,1
201212,2012-12-21,697.0,704.75,696.75,702.0,68214.0,572000.0,2012-12-21,20121221,702.0,0.0,12,21,201212,20121221,201212,1
201301,2013-01-23,728.0,730.5,719.25,720.75,118996.0,499243.0,2013-01-23,20130123,717.0,-3.75,1,23,201301,20130123,201301,0
201302,2013-02-22,692.0,697.75,690.0,690.25,122117.0,199078.0,2013-02-22,20130222,671.75,-18.5,2,22,201302,20130222,201302,0
201303,2013-03-21,731.25,734.5,726.5,733.0,96464.0,546289.0,2013-03-21,20130321,598.25,-134.75,3,21,201303,20130321,201303,0
201304,2013-04-19,645.25,652.75,642.75,652.0,67735.0,202043.0,2013-04-19,20130419,572.0,-80.0,4,19,201304,20130419,201304,0
201305,2013-05-21,644.75,647.0,632.5,640.0,102740.0,437124.0,2013-05-21,20130521,520.25,-119.75,5,21,201305,20130521,201305,0
201306,2013-06-21,673.0,673.75,660.25,661.75,89207.0,163916.0,2013-06-21,20130621,556.25,-105.5,6,21,201306,20130621,201306,0
201307,2013-07-22,544.25,545.0,536.25,540.75,49035.0,361063.0,2013-07-22,20130722,510.25,-30.5,7,22,201307,20130722,201307,0
201308,2013-08-21,483.5,499.5,482.0,498.0,75100.0,170549.0,2013-08-21,20130821,495.75,-2.25,8,21,201308,20130821,201308,0
201309,2013-09-23,450.0,455.0,448.25,453.25,85987.0,723931.0,2013-09-23,20130923,474.25,21.0,9,23,201309,20130923,201309,1
201310,2013-10-21,440.5,444.5,438.0,444.0,107313.0,716588.0,2013-10-21,20131021,465.25,21.25,10,21,201310,20131021,201310,1
201311,2013-11-21,417.0,424.0,416.75,423.0,185232.0,337603.0,2013-11-21,20131121,437.5,14.5,11,21,201311,20131121,201311,1
201312,2013-12-20,429.75,434.25,427.5,433.25,94008.0,649335.0,2013-12-20,20131220,448.5,15.25,12,20,201312,20131220,201312,1
201401,2014-01-23,426.0,431.25,425.75,429.0,158101.0,605446.0,2014-01-23,20140123,441.25,12.25,1,23,201401,20140123,201401,1
201402,2014-02-24,451.5,452.75,445.5,451.5,142118.0,200173.0,2014-02-24,20140224,462.25,10.75,2,24,201402,20140224,201402,1
201403,2014-03-21,478.5,481.0,476.0,479.0,87347.0,548999.0,2014-03-21,20140321,481.0,2.0,3,21,201403,20140321,201403,1
201404,2014-04-22,489.0,500.0,487.25,496.25,162856.0,204789.0,2014-04-22,20140422,499.0,2.75,4,22,201404,20140422,201404,1
201405,2014-05-21,473.5,476.0,472.5,474.5,95615.0,560287.0,2014-05-21,20140521,471.75,-2.75,5,21,201405,20140521,201405,0
201406,2014-06-20,449.75,453.75,446.25,453.25,111978.0,231544.0,2014-06-20,20140620,452.0,-1.25,6,20,201406,20140620,201406,0
201407,2014-07-22,363.5,367.0,359.75,360.25,56264.0,502013.0,2014-07-22,20140722,380.25,20.0,7,22,201407,20140722,201407,1
201408,2014-08-21,358.75,366.0,358.0,362.25,98175.0,179937.0,2014-08-21,20140821,381.75,19.5,8,21,201408,20140821,201408,1
201409,2014-09-22,331.0,331.5,326.75,330.25,130723.0,789586.0,2014-09-22,20140922,351.25,21.0,9,22,201409,20140922,201409,1
201410,2014-10-21,347.5,358.75,347.0,356.0,158470.0,699404.0,2014-10-21,20141021,378.5,22.5,10,21,201410,20141021,201410,1
201411,2014-11-21,372.75,381.5,369.75,372.75,203953.0,276456.0,2014-11-21,20141121,394.25,21.5,11,21,201411,20141121,201411,1
201412,2014-12-19,410.75,411.25,405.0,410.5,116956.0,659831.0,2014-12-19,20141219,426.0,15.5,12,19,201412,20141219,201412,1
201501,2015-01-23,384.0,388.5,382.0,386.75,168606.0,572655.0,2015-01-23,20150123,402.75,16.0,1,23,201501,20150123,201501,1
201502,2015-02-23,385.25,386.0,377.5,378.75,142469.0,195830.0,2015-02-23,20150223,394.5,15.75,2,23,201502,20150223,201502,1
201503,2015-03-20,373.5,387.5,372.75,385.0,209490.0,575536.0,2015-03-20,20150320,400.25,15.25,3,20,201503,20150320,201503,1
201504,2015-04-22,373.0,374.0,369.25,372.5,140050.0,233266.0,2015-04-22,20150422,387.5,15.0,4,22,201504,20150422,201504,1
201505,2015-05-21,360.0,366.5,359.75,365.0,169279.0,689335.0,2015-05-21,20150521,382.25,17.25,5,21,201505,20150521,201505,1
201506,2015-06-19,357.75,358.0,351.75,353.25,163985.0,294723.0,2015-06-19,20150619,368.75,15.5,6,19,201506,20150619,201506,1
201507,2015-07-22,407.25,407.5,399.75,402.75,90227.0,515138.0,2015-07-22,20150722,423.5,20.75,7,22,201507,20150722,201507,1
201508,2015-08-21,370.25,372.5,364.0,365.25,81827.0,210419.0,2015-08-21,20150821,388.75,23.5,8,21,201508,20150821,201508,1
201509,2015-09-22,384.0,384.5,377.25,380.5,113398.0,741798.0,2015-09-22,20150922,399.5,19.0,9,22,201509,20150922,201509,1
201510,2015-10-21,377.0,381.0,375.5,380.75,195223.0,697602.0,2015-10-21,20151021,396.0,15.25,10,21,201510,20151021,201510,1
201511,2015-11-20,363.5,366.5,362.0,363.25,337893.0,284375.0,2015-11-20,20151120,375.5,12.25,11,20,201511,20151120,201511,1
201512,2015-12-21,374.0,377.0,369.75,372.0,118060.0,689531.0,2015-12-21,20151221,384.0,12.0,12,21,201512,20151221,201512,1
201601,2016-01-25,370.0,372.5,366.5,369.75,141452.0,653797.0,2016-01-25,20160125,380.0,10.25,1,25,201601,20160125,201601,1
201602,2016-02-22,366.5,369.25,366.25,367.5,189448.0,234630.0,2016-02-22,20160222,377.25,9.75,2,22,201602,20160222,201602,1
201603,2016-03-21,366.5,370.0,365.75,369.5,99786.0,634864.0,2016-03-21,20160321,379.25,9.75,3,21,201603,20160321,201603,1
201604,2016-04-21,394.0,402.0,383.25,384.5,175360.0,191932.0,2016-04-21,20160421,389.25,4.75,4,21,201604,20160421,201604,1
201605,2016-05-20,390.0,396.75,389.0,394.5,170599.0,630188.0,2016-05-20,20160520,399.75,5.25,5,20,201605,20160520,201605,1
201606,2016-06-21,420.5,422.25,396.25,396.25,259718.0,242949.0,2016-06-21,20160621,408.75,12.5,6,21,201606,20160621,201606,1
201607,2016-07-22,334.5,336.75,326.75,335.0,90173.0,501032.0,2016-07-22,20160722,351.5,16.5,7,22,201607,20160722,201607,1
201608,2016-08-19,332.25,334.75,330.0,334.25,75930.0,225745.0,2016-08-19,20160819,353.5,19.25,8,19,201608,20160819,201608,1
201609,2016-09-22,339.25,341.5,334.75,336.75,112766.0,754124.0,2016-09-22,20160922,354.0,17.25,9,22,201609,20160922,201609,1
201610,2016-10-21,351.25,354.25,350.5,352.5,104711.0,666779.0,2016-10-21,20161021,369.0,16.5,10,21,201610,20161021,201610,1
